Sample_Name	Description	Size	1
SRR6309444	skin metagenome	43176	47
SRR6309445	skin metagenome	41066	32
SRR6309446	skin metagenome	36538	6
SRR6309451	skin metagenome	40732	5
SRR6309452	skin metagenome	41278	306
SRR6309458	skin metagenome	41141	1
SRR6309461	skin metagenome	45001	2
SRR6309462	skin metagenome	39403	7
SRR6309463	skin metagenome	41680	5
SRR6309467	skin metagenome	43781	39
SRR6309476	skin metagenome	42540	1
SRR6309480	skin metagenome	35125	1
SRR6419893	hydrothermal vent metagenome	241303	7
SRR6457077	marine metagenome	64023	1
SRR6457078	marine metagenome	77044	2
SRR6457081	marine metagenome	117083	2
SRR6457083	marine metagenome	104066	1
SRR6457084	marine metagenome	98172	4
SRR6457088	marine metagenome	47436	1
SRR6457091	marine metagenome	71382	4
SRR6457099	marine metagenome	78403	1
SRR6457103	marine metagenome	137215	2
SRR6457125	marine metagenome	64135	2
SRR6457127	marine metagenome	79233	2
SRR6457129	marine metagenome	92618	2
SRR6457163	marine metagenome	32139	3
SRR6457177	marine metagenome	122042	1
SRR6457178	marine metagenome	104534	1
SRR6457235	marine metagenome	105616	2
SRR6457243	marine metagenome	80677	1
SRR6457244	marine metagenome	140069	1
SRR6457246	marine metagenome	124588	1
SRR6457247	marine metagenome	134686	2
SRR6457255	marine metagenome	72116	3
SRR6457256	marine metagenome	19460	4
SRR6457270	marine metagenome	106465	1
SRR6457279	marine metagenome	72300	3
SRR6457285	marine metagenome	127290	1
SRR6457286	marine metagenome	126638	3
SRR6457295	marine metagenome	78035	5
SRR6457298	marine metagenome	91181	5
SRR6457333	marine metagenome	72044	1
SRR6457357	marine metagenome	85371	1
SRR6457368	marine metagenome	89114	1
SRR6457370	marine metagenome	62752	2
SRR6457383	marine metagenome	102308	1
SRR6457384	marine metagenome	110213	3
SRR6457385	marine metagenome	106914	2
SRR6457393	marine metagenome	87628	2
SRR6457394	marine metagenome	45375	60
SRR6457402	marine metagenome	105820	4
SRR6457403	marine metagenome	144851	6
SRR6457404	marine metagenome	111877	2
SRR6457407	marine metagenome	157292	2
SRR6457408	marine metagenome	122927	1
SRR6457411	marine metagenome	66034	1
SRR6457429	marine metagenome	102765	4
SRR6457433	marine metagenome	127853	1
SRR6457438	marine metagenome	74179	3
SRR6457449	marine metagenome	81267	3
SRR6457450	marine metagenome	67674	1
SRR6457487	marine metagenome	97221	4
SRR6457497	marine metagenome	78034	2
SRR6457499	marine metagenome	116870	1
SRR6457508	marine metagenome	86514	2
SRR6457521	marine metagenome	69474	3
SRR6457522	marine metagenome	56023	1
SRR6457528	marine metagenome	80351	1
SRR7097967	gut metagenome	38081	1
SRR7097969	gut metagenome	44198	3
SRR7098072	gut metagenome	31129	2
SRR7098077	gut metagenome	49099	1
SRR7098085	food metagenome	25358	1
SRR7177973	sponge metagenome	212267	1
SRR7513604	sponge metagenome	90308	22
SRR7591395	coral metagenome	4940	17
SRR7591401	coral metagenome	550	13
SRR7591406	coral metagenome	24202	26
SRR7591410	coral metagenome	23453	10
SRR7591413	coral metagenome	3401	5
SRR7591417	coral metagenome	8802	28
SRR7591418	coral metagenome	5330	1031
SRR7591422	coral metagenome	3061	101
SRR7591423	coral metagenome	4728	1420
SRR8177950	biofilm metagenome	31303	1
SRR8243126	coral metagenome	142634	3
SRR8243336	coral reef metagenome	18120	7
SRR8243337	coral reef metagenome	26822	17
SRR8243340	coral reef metagenome	13041	8
SRR8243353	coral reef metagenome	35110	70
SRR8243359	coral reef metagenome	12394	1
SRR8243376	coral reef metagenome	34903	241
SRR8243380	coral reef metagenome	16395	4
SRR8243384	coral reef metagenome	29583	555
SRR8243402	coral reef metagenome	3904	6
SRR8243406	coral reef metagenome	40771	39
SRR8243407	coral reef metagenome	43190	19
SRR8243424	coral reef metagenome	38606	1
SRR8268292	fish gut metagenome	50392	27
SRR8268298	fish gut metagenome	60980	386
SRR8268301	fish gut metagenome	86825	1
SRR8299221	coral metagenome	9037	2
SRR8359773	coral reef metagenome	31821	1
SRR8359799	coral reef metagenome	14500	8
SRR8359809	coral reef metagenome	47067	1
SRR8359810	coral reef metagenome	22102	1
SRR8359812	coral reef metagenome	16275	1
SRR8359816	coral reef metagenome	49090	8
SRR8359818	coral reef metagenome	41741	17
SRR8359832	coral reef metagenome	80513	6
SRR8359850	coral reef metagenome	39090	2
SRR8359852	coral reef metagenome	56081	1
SRR8359860	coral reef metagenome	30205	1
SRR8359861	coral reef metagenome	26510	27
SRR8359862	coral reef metagenome	30010	6
SRR8359863	coral reef metagenome	52225	51
SRR8359864	coral reef metagenome	24034	450
SRR8359865	coral reef metagenome	16681	494
SRR8359869	coral reef metagenome	28045	2
SRR8487565	coral metagenome	396845	7
SRR8487602	coral metagenome	20352	1
SRR8487612	coral metagenome	13303	3
SRR8487621	coral metagenome	2358	13
SRR8487633	coral metagenome	4035	40
SRR8487636	coral metagenome	10660	24
SRR8487639	coral metagenome	47494	28
SRR8487642	coral metagenome	58430	29
SRR8487649	coral metagenome	25656	96
SRR8487652	coral metagenome	3659	10
SRR8547930	coral metagenome	27315	6
SRR8547931	coral metagenome	28861	11
SRR8547932	coral metagenome	10622	6
SRR8547934	coral metagenome	7952	1
SRR8547935	coral metagenome	17177	1
SRR8547936	coral metagenome	11239	2
SRR8547937	coral metagenome	12337	5
SRR8547938	coral metagenome	15350	66
SRR8547940	coral metagenome	13178	4
